m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,5.0,0.0,246.22,1e-05,1.2836860341908923e-06,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,1e-05,1.9353835842033342e-05,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,1e-05,0.0002917932826436537,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,1e-05,0.004399299471737892,0.0,158.85108055537248,0.15095828270850384,success,
125.2,5.0,0.0,246.22,1e-05,0.06632721516646009,0.0,158.85108830445546,0.15092311306400247,success,
125.2,5.0,0.0,246.22,1e-05,1.0,0.0,158.8511177937459,0.150987209859803,success,
125.2,5.0,0.0,246.22,0.0001,1.0157498903328859e-06,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,0.0001,1.6048314523156414e-05,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,0.0001,0.0002535549365895067,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,0.0001,0.004006034763098848,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,5.0,0.0,246.22,0.0001,0.0632932442137299,0.0,158.8504604976843,0.1509540054520543,success,
125.2,5.0,0.0,246.22,0.0001,1.0,0.0,158.85075813161404,0.15091518334608428,success,
125.2,5.0,0.0,246.22,0.001,5.939014630671452e-08,0.0,,,meta_stable,
125.2,5.0,0.0,246.22,0.001,1.6556613707975075e-06,0.0,141.63604212539815,0.6527918364296578,success,
125.2,5.0,0.0,246.22,0.001,4.6156050207291046e-05,0.0,,,no_transition,
125.2,5.0,0.0,246.22,0.001,0.001286725056411628,0.0,153.05264121683462,0.16609980511253444,success,
125.2,5.0,0.0,246.22,0.001,0.03587095003497434,0.0,153.0689430004142,0.16603362331301993,success,
125.2,5.0,0.0,246.22,0.001,1.0,0.0,,,no_transition,
125.2,5.0,0.0,246.22,0.01,0.00016279596216143394,0.0,,,meta_stable,
125.2,5.0,0.0,246.22,0.01,0.0009317832583696139,0.0,,,no_transition,
125.2,5.0,0.0,246.22,0.01,0.005333179208197682,0.0,151.10945934486094,0.16946908708839772,success,
125.2,5.0,0.0,246.22,0.01,0.030525125034463262,0.0,152.86752056656866,0.16633484458942455,success,
125.2,5.0,0.0,246.22,0.01,0.17471440992220208,0.0,153.15991869244382,0.16577764397321298,success,
125.2,5.0,0.0,246.22,0.01,1.0,0.0,153.1781090691712,0.16574906108847362,success,
125.2,5.0,0.0,246.22,0.1,0.019020178627851603,0.0,,,meta_stable,
125.2,5.0,0.0,246.22,0.1,0.042011837118044605,0.0,,,no_transition,
125.2,5.0,0.0,246.22,0.1,0.09279589285500175,0.0,140.29662470459775,0.18926620316387344,success,
125.2,5.0,0.0,246.22,0.1,0.2049678928955573,0.0,148.26806779502192,0.17372987390888103,success,
125.2,5.0,0.0,246.22,0.1,0.4527337991530534,0.0,151.63642347267086,0.1681298388431219,success,
125.2,5.0,0.0,246.22,0.1,1.0,0.0,153.0171387481157,0.16553401836463985,success,
125.2,18.75,0.0,246.22,1e-05,0.0002596752397487961,0.0,158.85108645820665,0.15094743425661103,success,
125.2,18.75,0.0,246.22,1e-05,0.0013537685887129282,0.0,158.85108656361277,0.15091031645622732,success,
125.2,18.75,0.0,246.22,1e-05,0.00705762087120319,0.0,158.85108707999885,0.15092648690204222,success,
125.2,18.75,0.0,246.22,1e-05,0.036793594397842265,0.0,158.85108944135646,0.15091059436410872,success,
125.2,18.75,0.0,246.22,1e-05,0.19181656445115022,0.0,158.85109769520898,0.1509467676708454,success,
125.2,18.75,0.0,246.22,1e-05,1.0,0.0,158.85111811697533,0.1509259731913147,success,
125.2,18.75,0.0,246.22,0.0001,0.0002556573131742916,0.0,158.85044455735076,0.15093188527379095,success,
125.2,18.75,0.0,246.22,0.0001,0.001336985127752089,0.0,158.85044557666166,0.1509022450624528,success,
125.2,18.75,0.0,246.22,0.0001,0.006991895555953219,0.0,158.85045077376338,0.15081090268962452,success,
125.2,18.75,0.0,246.22,0.0001,0.03656480722979526,0.0,158.8504743131062,0.1509602903028222,success,
125.2,18.75,0.0,246.22,0.0001,0.19121926479775844,0.0,158.85055685635817,0.15093681574403053,success,
125.2,18.75,0.0,246.22,0.0001,1.0,0.0,158.8507614163696,0.15096050912677064,success,
125.2,18.75,0.0,246.22,0.001,0.00021720104912380123,0.0,158.84399441637188,0.1509740544124399,success,
125.2,18.75,0.0,246.22,0.001,0.0011735174042093756,0.0,158.84400371471878,0.15094082443673273,success,
125.2,18.75,0.0,246.22,0.001,0.006340407210452103,0.0,158.844052538838,0.15095627788990712,success,
125.2,18.75,0.0,246.22,0.001,0.03425664029366242,0.0,158.84428364305967,0.15096975684151215,success,
125.2,18.75,0.0,246.22,0.001,0.18508549455228093,0.0,158.84511146969993,0.1508996098342932,success,
125.2,18.75,0.0,246.22,0.001,1.0,0.0,158.84719204922914,0.15093183100329657,success,
125.2,18.75,0.0,246.22,0.01,4.938578074285512e-06,0.0,158.77518028053254,0.15083831498666025,success,
125.2,18.75,0.0,246.22,0.01,5.6869778816867104e-05,0.0,158.77518844104998,0.15083168271836775,success,
125.2,18.75,0.0,246.22,0.01,0.0006548791360653526,0.0,158.77528250824327,0.15075940601612797,success,
125.2,18.75,0.0,246.22,0.01,0.0075412053954833445,0.0,158.7763750184181,0.15095175366774102,success,
125.2,18.75,0.0,246.22,0.01,0.08684011397668329,0.0,158.783964368797,0.15081742013971616,success,
125.2,18.75,0.0,246.22,0.01,1.0,0.0,158.81125507090698,0.1508049196546049,success,
125.2,18.75,0.0,246.22,0.1,0.015112330813118026,0.0,,,meta_stable,
125.2,18.75,0.0,246.22,0.1,0.034951447088915795,0.0,117.33463599654584,0.33322256222778696,success,
125.2,18.75,0.0,246.22,0.1,0.08083489361871875,0.0,140.04379892996891,0.19669346090126769,success,
125.2,18.75,0.0,246.22,0.1,0.18695306119161523,0.0,148.38700718705758,0.17508646884927298,success,
125.2,18.75,0.0,246.22,0.1,0.4323806901234319,0.0,151.72589098631673,0.16845181894039116,success,
125.2,18.75,0.0,246.22,0.1,1.0,0.0,153.02552012179487,0.16558910283157313,success,
125.2,32.5,0.0,246.22,1e-05,0.002346706765627672,0.0,158.85109315523968,0.1509508664235839,success,
125.2,32.5,0.0,246.22,1e-05,0.007877112722726634,0.0,158.8510934377514,0.15098669599365405,success,
125.2,32.5,0.0,246.22,1e-05,0.026440842867705115,0.0,158.8510943535146,0.15092622211437848,success,
125.2,32.5,0.0,246.22,1e-05,0.0887530997922136,0.0,158.85109711151844,0.15097038460638512,success,
125.2,32.5,0.0,246.22,1e-05,0.297914584725578,0.0,158.85110423014663,0.1509357126517813,success,
125.2,32.5,0.0,246.22,1e-05,1.0,0.0,158.85111903863506,0.15095127776112913,success,
125.2,32.5,0.0,246.22,0.0001,0.0023345967544396674,0.0,158.85051165352195,0.15096847627221416,success,
125.2,32.5,0.0,246.22,0.0001,0.007844576488437829,0.0,158.85051447672367,0.15089420562583045,success,
125.2,32.5,0.0,246.22,0.0001,0.026358890530421113,0.0,158.85052361150915,0.15094609319778213,success,
125.2,32.5,0.0,246.22,0.0001,0.08856961379862642,0.0,158.85055115170564,0.15094098729884442,success,
125.2,32.5,0.0,246.22,0.0001,0.29760647472564583,0.0,158.85062241050983,0.15098683675449828,success,
125.2,32.5,0.0,246.22,0.0001,1.0,0.0,158.8507706100402,0.15093741223341042,success,
125.2,32.5,0.0,246.22,0.001,0.0022152196442541757,0.0,158.8446804205005,0.15079948111230904,success,
125.2,32.5,0.0,246.22,0.001,0.007522001838122532,0.0,158.844707915682,0.1509604815915831,success,
125.2,32.5,0.0,246.22,0.001,0.025541716280585075,0.0,158.84479801220402,0.15096294299730523,success,
